;id;pesid;data_inversa;dia_semana;horario;uf;br;km;municipio;causa_principal;causa_acidente;ordem_tipo_acidente;tipo_acidente;classificacao_acidente;fase_dia;sentido_via;condicao_metereologica;tipo_pista;tracado_via;uso_solo;id_veiculo;tipo_veiculo;marca;ano_fabricacao_veiculo;tipo_envolvido;estado_fisico;idade;sexo;ilesos;feridos_leves;feridos_graves;mortos;latitude;longitude
13284;106329.0;231480.0;2018-01-26;sexta-feira;17:00:00;ES;101.0;212;IBIRACU                                                     ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Engavetamento                                                                                                                                                                                           ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Sim       ;188951;Caminhonete         ;FIAT                                              ;2013.0;Condutor            ;Ileso               ;71.0;Masculino           ;1;0;0;0;-19.82146762;-40.36943704
13285;106329.0;231478.0;2018-01-26;sexta-feira;17:00:00;ES;101.0;212;IBIRACU                                                     ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Engavetamento                                                                                                                                                                                           ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Sim       ;188950;Automóvel           ;FORD                                              ;2017.0;Condutor            ;Lesões Leves        ;33.0;Masculino           ;0;1;0;0;-19.82146762;-40.36943704
13286;106329.0;231474.0;2018-01-26;sexta-feira;17:00:00;ES;101.0;212;IBIRACU                                                     ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Engavetamento                                                                                                                                                                                           ;Com Vítimas Feridas;Pleno dia           ;Crescente           ;Céu Claro           ;Simples             ;Reta                          ;Sim       ;188949;Caminhonete         ;CHEVROLET                                         ;2013.0;Condutor            ;Ileso               ;55.0;Masculino           ;1;0;0;0;-19.82146762;-40.36943704
13348;106361.0;233515.0;2018-01-26;sexta-feira;17:30:00;ES;101.0;377;ICONHA                                                      ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Sem Vítimas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Sim       ;190786;Caminhão            ;M.BENZ                                            ;1978.0;Condutor            ;Ileso               ;29.0;Masculino           ;1;0;0;0;-20.79290863;-40.80874264
13349;106361.0;233512.0;2018-01-26;sexta-feira;17:30:00;ES;101.0;377;ICONHA                                                      ;Sim                 ;Falta de Atenção à Condução                                                                         ;1;Colisão traseira                                                                                                                                                                                        ;Sem Vítimas;Pleno dia           ;Decrescente         ;Céu Claro           ;Simples             ;Reta                          ;Sim       ;190785;Camioneta           ;JEEP                                              ;2017.0;Condutor            ;Ileso               ;45.0;Masculino           ;1;0;0;0;-20.79290863;-40.80874264
13359;106368.0;231279.0;2018-01-26;sexta-feira;19:00:00;ES;101.0;264;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Anoitecer           ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;189035;Automóvel           ;FIAT                                              ;2010.0;Passageiro          ;Lesões Leves        ;29.0;Feminino            ;0;1;0;0;-20.176858;-40.2657
13360;106368.0;231280.0;2018-01-26;sexta-feira;19:00:00;ES;101.0;264;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Anoitecer           ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;189035;Automóvel           ;FIAT                                              ;2010.0;Condutor            ;Ileso               ;23.0;Masculino           ;1;0;0;0;-20.176858;-40.2657
13361;106368.0;231277.0;2018-01-26;sexta-feira;19:00:00;ES;101.0;264;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Anoitecer           ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;189031;Automóvel           ;FIAT                                              ;2005.0;Condutor            ;Ileso               ;46.0;Masculino           ;1;0;0;0;-20.176858;-40.2657
13362;106368.0;231273.0;2018-01-26;sexta-feira;19:00:00;ES;101.0;264;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão traseira                                                                                                                                                                                        ;Com Vítimas Feridas;Anoitecer           ;Decrescente         ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;189031;Automóvel           ;FIAT                                              ;2005.0;Passageiro          ;Ileso               ;39.0;Feminino            ;1;0;0;0;-20.176858;-40.2657
13367;106371.0;238007.0;2018-01-26;sexta-feira;18:40:00;ES;101.0;270;SERRA                                                       ;Sim                 ;Não guardar distância de segurança                                                                  ;1;Colisão lateral                                                                                                                                                                                         ;Com Vítimas Feridas;Plena Noite         ;Crescente           ;Céu Claro           ;Dupla               ;Reta                          ;Sim       ;194809;Motocicleta         ;HONDA                                             ;2011.0;Passageiro          ;Lesões Graves       ;17.0;Feminino            ;0;0;1;0;-20.22775118;-40.27170539
